address,,,,,,,,,,link,id,location/located_in
"Boomers Cafe, 61, 3rd Floor, আনাম র‍্যাংগস প্লাজা, সাতমসজিদ সড়ক, Road No 6/A, Dhaka 1209",,,,,,,,,,https://www.facebook.com/pages/Boomers-Cafe-Dhanmo/185820808838388,185820818838387,
"Ashkona, Dakkhin Khan",,,,,,,,,,https://www.facebook.com/cafe19dhaka/,557917821301708,
"Shakil Sharani, College Gate, Tongi West",,,,,,,,,,https://www.facebook.com/cafehangover1/,605168826609838,159681440792778
"House #34, Road #16 (old #27), Dhanmondi · Dhaka, Bangladesh",,,,,,,,,,https://www.facebook.com/oisbd/,224322171058082,
"25 shaista khan road,Lalbag Chowrasta",,,,,,,,,,https://www.facebook.com/cafe.tintin/,110195793009263,
"257 West Rampura, DIT Road,Dhaka-1219",,,,,,,,,,https://www.facebook.com/Alkaderiacafe/,986860898053448,
Palash,,,,,,,,,,https://www.facebook.com/macawcafe/,121172988253092,
Rankeen street Wari,,,,,,,,,,https://www.facebook.com/pages/Tune-Bite/148562175845526,148562182512192,
"Araihazar,  Nayrayangonj",,,,,,,,,,https://www.facebook.com/cafe2500/,143989029398219,
"KB Square, Level 13, 49/A, Dhanmondi Satmosjid Road, Dhaka, Bangladesh",,,,,,,,,,https://www.facebook.com/Happinessrestaurant27/,1622154107884501,
"117/A, Rangs Bhaban (level-7), Old Airport Road, Bijoy Sharani,",,,,,,,,,,https://www.facebook.com/SohoCoffeeTime/,194964651364296,
"78/B, Malibagh, Chowdhury Para",,,,,,,,,,https://www.facebook.com/cafebigbite.bd/,586593711550310,
Gulshan,,,,,,,,,,https://www.facebook.com/pages/Grassroots-Cafe/205011442902014,205011466235345,
"166, Mirpur Road, Kalabagan",,,,,,,,,,https://www.facebook.com/mcaferestaurant/,430744043947465,
Bangladesh University of Engineering & Technology,,,,,,,,,,https://www.facebook.com/buet.bangladesh/,118751408233135,
"7th Fl, Green Cozy Cott 2 no Baily Road",,,,,,,,,,https://www.facebook.com/ambrosiarestaurantmusiccafe/,556552908181757,
"Union Heights, (Level-2) 87, Shekh Rasel Square, Panthapath, (Adjacent to Square Hospital) Dhaka-1205 (New).",,,,,,,,,,https://www.facebook.com/unicafedhaka/,702472703186785,
Zahir Raihan RD,,,,,,,,,,https://www.facebook.com/pages/Buet-Cafeteria/179499132650523,179499139317189,
"Rahman Tower,95 Sahid Faruk Road,South Jatrabari Dhaka-1204",,,,,,,,,,https://www.facebook.com/RoadsideCafeJatrabari/,2052523914811922,
"52-54 City Club Market(1st Floor, Opposite of Anik Plaza), Mirpur 11.5 Bus Stand, Pallabi",,,,,,,,,,https://www.facebook.com/Mirpur.Regal/,459023394293886,
"Raindrop Garden Cafe, Purbachal 300ft, Sector-1, Road-402, Plot-02",,,,,,,,,,https://www.facebook.com/Raindrop-Garden-Cafe-325169264762206/,327638024515330,
"Road#10, Block-C, NSU Road, Bashundhara R/A, Dhaka-1229",,,,,,,,,,https://www.facebook.com/cafesixteen/,1412404552410356,
"House-2, Road-10, Sector-1, Uttara",,,,,,,,,,https://www.facebook.com/GCUttara/,1580617485565337,
"40/8 North Avenue, Gulshan 2",,,,,,,,,,https://www.facebook.com/whitecanarycafe/,1937966469766898,
"Plot-02, Road-03, Gudaraghat, Gulshan  badda  link road lakepar",,,,,,,,,,https://www.facebook.com/CafeCrushgulshan1/,2116848131964650,
"X-23,Razia Sultana Road,Mohammadpur,Dhaka",,,,,,,,,,https://www.facebook.com/cafemsvz/,2189095121345675,
"Pink City shopping mall , Road 103, Gulshan 2",,,,,,,,,,https://www.facebook.com/fantasiumdhaka/,641588642612917,
"20/A, Indira Road, Farmgate",,,,,,,,,,https://www.facebook.com/pages/Skylight-BBQ-Cafe/125602141499874,125602148166540,
"2 Natok Shoroni,New Baily Road (2nd Floor)",,,,,,,,,,https://www.facebook.com/FakruddinCafe/,1532728347005463,
"House # 40, Road # 04, Block # D, Banasree",,,,,,,,,,https://www.facebook.com/cafehousefull/,750456348630017,
"House #1, Road #6, Block E, Section 2, Mirpur",,,,,,,,,,https://www.facebook.com/cafekahwaBD/,1212780472080559,
Malibag Chowduri Para,,,,,,,,,,https://www.facebook.com/pages/Abul-Hotle-Resturent-Cafe/307286069778178,307286079778177,
mohammadpur,,,,,,,,,,https://www.facebook.com/pages/Society-Cafemohammad-Pur/828079057367560,828079064034226,
"13 no. sector, Uttara",,,,,,,,,,https://www.facebook.com/Emotions-Restaurant-Music-Cafe-1263230447037992/,1263230493704654,
,,,,,,,,,,https://www.facebook.com/Carscafeteria/,547608615307330,
Thana Road,,,,,,,,,,https://www.facebook.com/roverscafesaver/,425216567940584,
"CH-74,Hussain Super Market ,North Badda,Gulshan,Dhaka-1212",,,,,,,,,,https://www.facebook.com/caferday/,675759519101174,
"awlad hossin market, Tejkunipara,Tejgaon,Dhaka-1215",,,,,,,,,,https://www.facebook.com/cafeliciousbd/,1709910972649964,
New Baily Road,,,,,,,,,,https://www.facebook.com/pages/Bomars-Cafe-At-Baily-Road/1827005447580845,1827005454247511,
"House #39,Road #5, Block #C, 2nd Floor, Bansree, Rampura,Dhaka - 1219",,,,,,,,,,https://www.facebook.com/AutographLiveMusicCafe/,803805286457703,
"KHANPUR HOSPITAL ROAD, NARAYANGANJ",,,,,,,,,,https://www.facebook.com/CAFE-21-2341181542830246/,2341181722830228,
"Plot#18,Road#203, Sector#1 Purbachal Neela Market",,,,,,,,,,https://www.facebook.com/Nobannocafe/,597518357425371,
"Shimultoli, Gazipur.",,,,,,,,,,https://www.facebook.com/pages/Cafe-Shorad-Artillery-Canteen/787754958095608,787754964762274,
Gerua,,,,,,,,,,https://www.facebook.com/cafechalkboard/,2320932914862670,
"House: 40 (Ground Floor), Road: 13, Sector: 4. Uttara",,,,,,,,,,https://www.facebook.com/cafezodiac.bd/,221742022078582,
"Aziz Complex, Mazar, Uttarkhan, Dhaka",,,,,,,,,,https://www.facebook.com/pages/Cafe-FB-Uttarkhan/131938497350741,131938504017407,
TNT,,,,,,,,,,https://www.facebook.com/Cafe-Kosturi-Restaurant-617478432018565/,617479102018498,
"300 Feet Road, Khilkhet FlyOver, Purbachal Express Hwy",,,,,,,,,,https://www.facebook.com/theterracedhaka/,1637406056519550,
"22, Rankin Street, Wari, Dhaka - 1203",,,,,,,,,,https://www.facebook.com/biker.cafe.and.restaurant/,629508327434444,
"3. Dhakeshwar road ,Lalbagh Chowrasta , on apex showroom",,,,,,,,,,https://www.facebook.com/bcaferestaurantandpartycenter/,684260781764735,
"Purbachal Sector-1, Riverside, Beside Balu-Bridge Bazar",,,,,,,,,,https://www.facebook.com/cafelahawaii/,917252708414271,
"ROAD NO-2/A, KEARI CRESCENT BUILDING, LEVEL 7, SATMASJID ROAD, ZIGATOLA BUS STAND, DHANMONDI",,,,,,,,,,https://www.facebook.com/Dramaqueen.cafe/,2159398664295040,
"Century centre,Kha 225 Pragoti Sarani,Merul,Badda,Gulshan,Dhaka",,,,,,,,,,https://www.facebook.com/CafeCentury/,501186503337990,
61 multi plan greenvilla.green road,,,,,,,,,,https://www.facebook.com/dreamscafebd/,415949402192816,
1 Minto Road,,,,,,,,,,https://www.facebook.com/InterContinentalCafeSocial/,2844493862242775,
"Level # 4/B, 2 New Baily Road, Dhaka- 1000",,,,,,,,,,https://www.facebook.com/fundishcafe/,2291803151040173,
"Shop 3 & 4, Food Court, Gate No. 1, Sher-e-Bangla National Cricket Stadium (SBNCS), Mirpur 6",,,,,,,,,,https://www.facebook.com/Howzatt-food-and-cafe-167419147022720/,167419167022718,
"House#44, Road#07, Block#B, Banasree, Rampura",,,,,,,,,,https://www.facebook.com/marshmallowbangladesh/,349505028846069,
"Independent University, Bangladesh (IUB), Plot - 16, Block - B, Bashundhara R/A",,,,,,,,,,https://www.facebook.com/iubcafe/,972298066135310,
"U/64 Nurjahan Road, Mohammadpur",,,,,,,,,,https://www.facebook.com/www.gqpc.com.bd/,1688720271410964,
"ICEAGE First floor, House 67/C, Road 11, Block E, Banani",,,,,,,,,,https://www.facebook.com/IceAgeBD/,513347265538966,
"House-11, 2nd floor, Sector-7, Sonargaon Janapath Road",,,,,,,,,,https://www.facebook.com/cmgrbd/,1702774696655755,
"1, Lake Circus, Kalabagan.",,,,,,,,,,https://www.facebook.com/Cafe-Roof-Top-532531747192896/,532531753859562,
"Baily road, Dhaka",,,,,,,,,,https://www.facebook.com/pages/Swiss-Baily-Road-Dhaka/387151171361871,387151194695202,
